Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Nigeria,NGA,"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300000,1075000,2096000,1955000,1702000,2243000,2583000,2730000,3228000,3646000
Nigeria,NGA,Voice and Accountability: Standard Error,VA.STD.ERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208809838,,0.214446098,,0.192937747,,0.156958446,0.14840585,0.144486427,0.136219054,0.108879529,0.110723399,0.108597741,0.110230647,0.108896978,0.107742839,0.107736073,0.103856951,0.117346533,0.119199388,0.116667964,0.11970631,0.123370849,0.117766775,0.120300755,0.120698303,
Nigeria,NGA,Voice and Accountability: Number of Sources,VA.NO.SRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,,8,,11,12,13,15,18,18,18,18,18,19,19,19,16,16,16,15,15,14,13,13,
Nigeria,NGA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.638913079,1.090051581,1.266072275,1.887412329,2.99168314,2.107952176,11.90587563,2.35102616,2.330351819,1.928146116,1.482401174,6.944123096,6.487965049,
Nigeria,NGA,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,122.4804005,84.24010579,57.50448663,48.9420988,55.96013979,61.92027959,24.00585624,35.70416549,32.46906584,37.17294796,64.56503259,57.92009068,56.1348824,54.73694153,53.45706999,58.84147795,77.0135876,72.50202622,46.98402861,66.05768772,100,86.03098927,85.69725864,114.5697259,184.1764005,240.6054827,279.9809297,317.5492253,411.3158522,270.5215733,400.476758,553.0393325,546.8414779,431.7285726,491.537435,239.4098944,158.7712899,212.005588,288.6607048,298.123377,169.8857869,,
Nigeria,NGA,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,0.692940667,0.864375386,2.906853384,3.051422113,3.094327067,1.720229364,2.135822995,1.505090748,1.351123121,1.25743797,0.863390624,1.894818252,1.495893177,1.600554705,1.776726831,1.927478768,1.94698482,2.22964686,2.575409062,1.79947392,,2.470825117,2.399723082,2.682659625,4.553074499,3.366533696,4.147660982,4.147660982,6.508005465,6.489602616,6.503673878,8.594054788,7.06441447,7.287484943,6.730039962,8.288478252,7.657014137,8.098219297,10.38785521,10.61627809,6.999758451,6.330281666,9.267626584,8.305278327,7.754763718,7.572982425,7.972648106,9.204319662,7.976308782,9.634325149,8.849194349,8.178595607,10.26912591,9.815713916,11.14276207,12.31857115,12.06844649,11.07874086,13.20472369,12.27939622,12.23540093,,
Nigeria,NGA,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,,,,0.018835939,0.016636167,0.146686225,,0.206581083,0.16889039,,0.056483499,0.281736825,0.064240811,0.026001791,,,0.006499234,,,,,,0.000706424,0.024345253,0.036042379,0.015536125,,,0.014788425,0.00986798,0.001040221,0.008793457,,0.021962373,0.111948476,0.094390163,0.147161836,0.167731025,0.135479435,0.101810775,0.00585718,0.028262923,0.005482407,0.003236586,0.004233417,0.004035315,0.003574036,0.001967226,0.005684118,0.007583673,0.030801737,0.0306503,0.026637058,0.030115389,0.016181586,0.013373323,0.094458232,0.017467474,0.018980306,0.014170828,0.020101775,,
Nigeria,NGA,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,462000000,486000000,468000000,520000000,601000000,749000000,796000000,677000000,591000000,891000000,1240000000,1815000000,2180000000,3462000000,9205000000,7834000000,10566000000,11839000000,9938000000,17334000000,25968000000,17845000000,12185000000,10357000000,11856000000,12548000000,5155000000,7365000000,6875000000,10000000000,13596000000,12264000000,11886000000,9908000000,9415000000,12342000000,16153000000,15207000000,9855000000,13856000000,20975000000,18045000000,17975000000,24031000000,38631000000,50467000000,58726000000,66606000000,86274000000,56742000000,84000000000,1.16E+11,1.147E+11,90555000000,1.031E+11,50216000000,33302000000,44468000000,60547000000,62531000000,35634000000,46932000000,62675000000
Nigeria,NGA,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,,,,,,,,,,,,,,,,,,1.006711409,5.044883303,7.080645161,6.607142857,4.842657343,3.65497076,3.676975945,4.06626506,5.460992908,1.116173121,0.533333333,2.545454545,0.221456693,0.284348197,0.744651976,1.11874029,0.948985626,0.429026722,0.598816402,0.271643541,0.428865102,0.424309392,0.845715044,0.849758146,0.849941543,0.850115334,0.112966908,0.166021903,0.803822571,0.618290991,1.6333899,0.833073071,0.502285761,0.566327597,0.761649571,0.629595895,1.361726592,2.407877208,11.09734959,10.09939104,7.936024804,17.56426536,17.99606806,26.88773005,23.09410613,18.77843884
Nigeria,NGA,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,16.62870131,17.87747312,15.68989661,10.92445585,10.57885184,9.15258449,8.783143604,6.989269929,5.107033504,2.737917608,1.557172552,2.217107693,1.0081795,0.585282335,0.358866568,0.382507544,0.380278851,0.457492023,,0.116690176,,0.07694565,0.045199403,0.044902352,0.409406447,0.519733225,,,,,,,,,1.622143775,0.079966179,0.099477337,0.134312904,0.005945528,0.006176279,0.281333482,0.009262966,,,0.361642314,0.762280231,0.928697303,1.137223997,1.631811067,6.12951235,7.268343075,3.205080928,0.434799236,0.30964647,0.160180404,0.232203586,0.133973743,0.114395132,0.155381536,0.264812731,
